player,GK,DR,DCR,DCL,DL,MCR,MC,MCL,FR,FC,FL
Oleguer,1.35,1.36,1.39,1.34,1.01,1.21,1.01,0.87,1.37,1.1,1.08
Vertonghen,3.1,84.88,106.37,103.08,68.75,74.34,60.75,52.81,56.93,44.14,42.4
Lindgren,1.35,8.15,10.91,11.79,5.26,12.2,8.38,6.45,12.21,10.89,8.69
Emanuelson,1.64,47.18,31.61,28.87,36.16,36.28,23.9,32.34,46.42,24.71,37.52
Vermeer,38.23,19.99,11.08,12.11,17.68,14.18,3.7,9.94,5.49,1.1,3.88
Cvitanich,1.35,1.36,1.39,1.34,1.01,1.21,1.01,0.87,1.37,1.1,1.08
de Jong,1.86,78.83,68.15,71.18,56.58,66.25,58.75,45.9,66.21,66.34,61.7
Zeeuw,2.84,82.25,94.53,92.28,62.82,68.76,59.16,47.26,68.47,58.2,56.14
El Hamdaoui,1.35,48.11,33.59,35.41,31.66,40.75,38.97,30.57,52.98,48.13,51.92
Verhoeven,91.66,1.36,1.39,1.34,1.01,1.21,1.01,0.87,1.37,1.1,1.08
Alderweireld,3.08,80.15,102.48,98.96,63.6,68.59,56.47,48.61,50.51,35.47,28.18
Blind,1.6,43.32,23.62,24.81,29.95,31.84,17.03,22.79,39.13,11.14,20.61
Zeegelaar,1.35,1.36,1.39,1.34,1.01,1.21,1.01,0.87,1.37,1.1,1.08
Ooijer,1.35,1.36,1.39,1.34,1.01,1.21,1.01,0.87,1.37,1.1,1.08
Wiel,2.67,89.99,95.39,93.56,66.65,67.49,61.36,49.46,63.54,53.8,42.17
Boilesen,1.35,1.36,1.39,1.34,1.01,1.21,1.01,0.87,1.37,1.1,1.08
Lukoki,1.35,1.36,1.39,1.34,1.01,1.21,1.01,0.87,1.37,1.1,1.08
Deckers,1.35,1.36,1.39,1.34,1.01,1.21,1.01,0.87,1.37,1.1,1.08
Anita,2.6,83.76,91.37,89.2,62.41,58.61,49.6,41.08,35.84,30.04,23.73
Enoh,2.34,66.04,74.55,73.24,49.94,51.35,41.16,35.21,39.73,25.63,17.35
Eriksen,1.98,85.89,90.91,89.23,62.26,73.21,66.77,50.91,76.85,70.56,63.16
Ozbiliz,1.35,7.02,1.81,2.13,4.1,3.05,4.36,3.19,9.77,10.32,11.78
Steekelenburg,103.21,21.4,50.13,43.61,21.74,17.51,16.78,13.73,15.52,7.69,5.87
Suarez,31.53,25.2,10.9,12.57,14.78,27.0,24.93,17.73,52.35,55.4,55.42
Sulejmani,1.84,80.74,67.77,70.98,57.98,68.41,60.8,49.15,80.26,69.66,66.75
Tainio,1.35,1.36,1.39,1.34,1.01,1.21,1.01,0.87,1.37,1.1,1.08
H. Hussein,1.35,1.36,1.39,1.34,1.01,1.21,1.01,0.87,1.37,1.1,1.08
Ebecilio,1.35,50.19,38.73,41.71,33.27,42.88,43.93,32.07,59.21,60.36,58.7
Castillion,1.35,1.36,1.39,1.34,1.01,1.21,1.01,0.87,1.37,1.1,1.08
