player,GK,DR,DCR,DCL,DL,MCR,MC,MCL,FR,FC,FL
Oleguer,1.3539999999999999,1.363,1.3940000000000001,1.345,1.0050000000000001,1.2120000000000002,1.0100000000000002,0.8720000000000002,1.374,1.099,1.0750000000000002
Vertonghen,3.099,84.88100000000001,106.373,103.08500000000001,68.75000000000001,74.33800000000001,60.746,52.812,56.92900000000001,44.135,42.40100000000001
Lindgren,1.3539999999999999,8.151,10.908,11.789,5.265000000000001,12.195,8.376999999999999,6.450999999999998,12.208000000000002,10.891000000000002,8.687999999999997
Emanuelson,1.641,47.177,31.608,28.866999999999997,36.162,36.281000000000006,23.903000000000002,32.343999999999994,46.422999999999995,24.709000000000003,37.523
Vermeer,38.230999999999995,19.992,11.085,12.106000000000002,17.675,14.180000000000001,3.7010000000000005,9.943,5.492999999999999,1.099,3.882
Cvitanich,1.3539999999999999,1.363,1.3940000000000001,1.345,1.0050000000000001,1.2120000000000002,1.0100000000000002,0.8720000000000002,1.374,1.099,1.0750000000000002
de Jong,1.8599999999999999,78.83,68.15199999999999,71.17899999999999,56.580999999999996,66.252,58.747,45.897,66.208,66.33800000000001,61.705
Zeeuw,2.838,82.24700000000001,94.526,92.276,62.824999999999996,68.76100000000001,59.157,47.26,68.466,58.196,56.138999999999996
El Hamdaoui,1.3539999999999999,48.11299999999999,33.589000000000006,35.410999999999994,31.655000000000005,40.754000000000005,38.967999999999996,30.566000000000003,52.978,48.129999999999995,51.922
Verhoeven,91.657,1.363,1.3940000000000001,1.345,1.0050000000000001,1.2120000000000002,1.0100000000000002,0.8720000000000002,1.374,1.099,1.0750000000000002
Alderweireld,3.0820000000000003,80.154,102.477,98.96,63.60400000000001,68.58500000000001,56.46700000000001,48.614,50.510000000000005,35.467,28.179
Blind,1.603,43.32299999999999,23.621,24.813000000000002,29.953,31.840000000000003,17.034000000000002,22.791999999999998,39.12599999999999,11.136999999999999,20.608999999999998
Zeegelaar,1.3539999999999999,1.363,1.3940000000000001,1.345,1.0050000000000001,1.2120000000000002,1.0100000000000002,0.8720000000000002,1.374,1.099,1.0750000000000002
Ooijer,1.3539999999999999,1.363,1.3940000000000001,1.345,1.0050000000000001,1.2120000000000002,1.0100000000000002,0.8720000000000002,1.374,1.099,1.0750000000000002
Wiel,2.673,89.991,95.39000000000001,93.563,66.653,67.493,61.36300000000001,49.455,63.541,53.796,42.165000000000006
Boilesen,1.3539999999999999,1.363,1.3940000000000001,1.345,1.0050000000000001,1.2120000000000002,1.0100000000000002,0.8720000000000002,1.374,1.099,1.0750000000000002
Lukoki,1.3539999999999999,1.363,1.3940000000000001,1.345,1.0050000000000001,1.2120000000000002,1.0100000000000002,0.8720000000000002,1.374,1.099,1.0750000000000002
Deckers,1.3539999999999999,1.363,1.3940000000000001,1.345,1.0050000000000001,1.2120000000000002,1.0100000000000002,0.8720000000000002,1.374,1.099,1.0750000000000002
Anita,2.604,83.764,91.372,89.205,62.409,58.612,49.59600000000001,41.077,35.842999999999996,30.043000000000003,23.727999999999998
Enoh,2.339,66.039,74.54700000000001,73.239,49.943000000000005,51.352000000000004,41.160000000000004,35.212,39.73,25.632,17.351
Eriksen,1.9800000000000002,85.89399999999999,90.911,89.23299999999999,62.264,73.20900000000002,66.76899999999999,50.91299999999999,76.847,70.56099999999998,63.156000000000006
Ozbiliz,1.3539999999999999,7.023000000000001,1.8139999999999998,2.1300000000000003,4.1,3.047,4.355,3.192,9.769,10.318999999999999,11.785
Steekelenburg,103.209,21.396,50.127,43.612,21.738,17.507,16.778000000000002,13.729999999999999,15.519,7.692000000000001,5.8740000000000006
Suarez,31.53,25.201999999999998,10.899,12.574000000000002,14.776,27.001,24.927,17.730999999999998,52.352,55.397999999999996,55.422
Sulejmani,1.845,80.744,67.77199999999999,70.978,57.984,68.40800000000002,60.796,49.147999999999996,80.265,69.658,66.751
Tainio,1.3539999999999999,1.363,1.3940000000000001,1.345,1.0050000000000001,1.2120000000000002,1.0100000000000002,0.8720000000000002,1.374,1.099,1.0750000000000002
H. Hussein,1.3539999999999999,1.363,1.3940000000000001,1.345,1.0050000000000001,1.2120000000000002,1.0100000000000002,0.8720000000000002,1.374,1.099,1.0750000000000002
Ebecilio,1.3539999999999999,50.186,38.727999999999994,41.707,33.272000000000006,42.885,43.925999999999995,32.067,59.208,60.362,58.70400000000001
Castillion,1.3539999999999999,1.363,1.3940000000000001,1.345,1.0050000000000001,1.2120000000000002,1.0100000000000002,0.8720000000000002,1.374,1.099,1.0750000000000002
